站点代码，数据时间，气象，气压，相对湿度，风向，风俗，降雨量，能见度
58015,20210710123017,15.3,1008.7,19,251,1.0,0.6,10356.6
58102,20210710123017,17.8,1006.3,24,204,7.5,0.4,10384.8
58118,20210710123017,26.5,1010.7,81,193,4.5,1.2,10094.5
58122,20210710123017,6.0,1009.8,80,359,6.3,0.8,10114.9
58203,20210710123017,2.6,1023.8,66,89,9.9,0.3,10486.4
58215,20210710123017,13.1,1010.6,96,282,9.3,0.2,10336.0
58221,20210710123017,24.9,1015.1,6,242,13.6,0.6,10393.7
58225,20210710123017,34.4,1003.4,92,351,1.3,1.4,10227.7
58236,20210710123017,17.6,1018.2,55,22,12.5,1.5,10058.2
58311,20210710123017,25.5,1014.7,64,288,1.9,0.6,10486.7
58314,20210710123017,29.5,1023.2,82,272,13.7,1.4,10244.4
58319,20210710123017,30.1,1022.8,55,177,9.1,1.0,10487.0
58321,20210710123017,24.0,1013.6,64,344,4.7,1.3,10175.5
58326,20210710123017,24.5,1014.0,70,230,9.7,0.0,10432.3
58336,20210710123017,34.7,1016.6,46,10,2.2,0.2,10252.5
58338,20210710123017,25.6,1006.4,63,96,4.1,0.4,10128.2
58414,20210710123017,20.8,1017.4,67,160,3.3,0.1,10484.9
58419,20210710123017,2.6,1006.2,75,26,4.2,0.3,10477.7
58424,20210710123017,21.9,1011.5,100,278,2.1,0.0,10001.4
58429,20210710123017,11.8,1016.2,57,165,13.8,1.0,10038.4
58436,20210710123017,30.6,1001.4,40,235,14.9,0.1,10262.4
58437,20210710123017,27.6,1008.2,84,66,9.0,0.1,10158.3
58520,20210710123017,14.1,1022.8,29,196,2.9,0.3,10211.6
58531,20210710123017,16.4,1000.3,29,56,14.7,0.0,10368.3
54406,20210710123017,6.5,1005.8,96,119,13.8,0.2,10405.4
54416,20210710123017,27.6,1016.3,43,273,3.1,0.2,10427.2
54511,20210710123017,10.6,1024.3,64,335,8.6,0.4,10248.8
58725,20210710123017,2.3,1003.9,20,8,4.7,0.3,10056.0
58730,20210710123017,26.4,1014.7,70,104,3.7,0.8,10329.1
58731,20210710123017,17.3,1009.0,92,27,14.3,0.9,10264.4
58734,20210710123017,1.2,1025.1,85,287,4.7,1.5,10255.0
58737,20210710123017,21.2,1017.9,88,262,1.5,1.0,10447.7
58744,20210710123017,3.9,1010.9,39,150,14.0,0.4,10331.9
58754,20210710123017,2.5,1010.8,4,306,7.7,0.2,10306.0
58818,20210710123017,24.8,1002.7,19,79,9.5,1.0,10410.4
58820,20210710123017,21.5,1004.1,2,101,14.1,0.0,10251.1
58834,20210710123017,18.6,1023.4,59,142,5.7,0.8,10044.5
58837,20210710123017,5.4,1012.4,32,268,3.5,1.0,10389.0
58843,20210710123017,12.4,1015.6,61,316,11.4,0.6,10303.8
58846,20210710123017,31.8,1016.0,83,245,3.2,1.5,10107.0
58847,20210710123017,27.8,1022.4,74,111,2.8,1.5,10304.0
58911,20210710123017,32.1,1010.4,38,177,14.0,0.5,10174.5
58918,20210710123017,19.1,1007.9,54,61,4.0,0.9,10409.5
58921,20210710123017,20.2,1019.2,14,347,7.8,0.7,10248.3
58926,20210710123017,32.9,1008.7,63,65,11.3,1.5,10195.6
58927,20210710123017,28.0,1001.5,74,331,14.9,1.5,10099.2
58931,20210710123017,8.9,1011.6,88,209,3.9,0.0,10326.7
58933,20210710123017,23.9,1013.7,89,315,0.5,0.6,10104.4
58936,20210710123017,14.2,1004.5,79,28,13.6,0.8,10491.6
58944,20210710123017,28.0,1007.2,55,165,9.5,0.4,10412.6
59113,20210710123017,12.8,1003.5,98,217,7.5,0.8,10177.4
59126,20210710123017,24.1,1015.2,70,58,14.0,0.1,10071.0
59133,20210710123017,10.4,1007.1,41,325,6.7,0.2,10421.8
59134,20210710123017,29.9,1004.3,21,85,8.7,0.6,10025.9
59321,20210710123017,9.9,1013.8,79,200,4.7,0.0,10404.8
52323,20210710123017,1.8,1013.6,29,71,9.7,1.3,10446.8
52418,20210710123017,17.8,1015.8,79,246,2.4,1.0,10462.9
52424,20210710123017,8.8,1009.3,59,196,5.2,1.4,10400.7
52436,20210710123017,8.2,1016.4,4,125,1.5,1.4,10355.3
52446,20210710123017,11.0,1015.8,75,289,3.0,0.2,10300.4
52447,20210710123017,11.5,1006.3,74,138,1.4,1.5,10246.2
52533,20210710123017,27.8,1015.4,82,31,6.3,1.1,10389.0
52546,20210710123017,7.9,1023.3,82,186,12.9,0.8,10155.9
52652,20210710123017,27.3,1019.8,37,49,8.4,1.0,10265.4
52661,20210710123017,24.7,1023.7,31,234,7.0,0.3,10037.3
